depth,Minimax NewHeur Avg Time,Minimax OldHeur Avg Time,Winner,Who First
4,0.21614308790727096,0.1860708236694336,new,new
4,0.2175140380859375,0.18660168647766112,new,new
4,0.21707279031926935,0.18630013465881348,new,new
4,0.2175159454345703,0.19048082828521729,new,new
4,0.21706232157620517,0.1874758243560791,new,new
4,0.218090989372947,0.18770017623901367,new,new
4,0.21672643314708362,0.18800184726715088,new,new
4,0.21733039075678046,0.188598370552063,new,new
4,0.21914562312039462,0.18926990032196045,new,new
4,0.21868181228637695,0.1903810977935791,new,new
4,0.21790569478815253,0.18810884952545165,new,new
4,0.2163639502091841,0.18679966926574706,new,new
4,0.2170503789728338,0.1878657817840576,new,new
4,0.217162240635265,0.1876765489578247,new,new
4,0.21706477078524503,0.18859989643096925,new,new
4,0.21669994701038708,0.18839988708496094,new,new
4,0.21722019802440296,0.18789710998535156,new,new
4,0.218173395503651,0.18762946128845215,new,new
4,0.2166832143610174,0.18736574649810792,new,new
4,0.21709047664295544,0.18808133602142335,new,new
4,0.21761827035383743,0.18870303630828858,new,new
4,0.21599420634183017,0.18733518123626708,new,new
4,0.21586732430891556,0.18765878677368164,new,new
4,0.21618407422846014,0.18780066967010497,new,new
4,0.2164089246229692,0.1873997211456299,new,new
4,0.2163787321610884,0.18720102310180664,new,new
4,0.21772878820245917,0.1887559175491333,new,new
4,0.21671843528747559,0.1870551347732544,new,new
4,0.216997276652943,0.18654654026031495,new,new
4,0.21745447678999466,0.1867000102996826,new,new
4,0.21730767596851697,0.18720529079437256,new,new
4,0.21679286523298782,0.18735837936401367,new,new
4,0.21592942151156339,0.1861588954925537,new,new
4,0.21618470278653232,0.1873995304107666,new,new
4,0.225177678194913,0.19868645668029786,new,new
4,0.21614538539539685,0.1873234272003174,new,new
4,0.21615260297601874,0.18759939670562745,new,new
4,0.21627296100963245,0.1871727228164673,new,new
4,0.21636438369750977,0.18749911785125734,new,new
4,0.2170907367359508,0.18760018348693847,new,new
4,0.21754516254771838,0.1879033327102661,new,new
4,0.21672708337957208,0.18830013275146484,new,new
4,0.21799950166182083,0.18910160064697265,new,new
4,0.21817564964294434,0.187599778175354,new,new
4,0.21630822528492322,0.1874000072479248,new,new
4,0.2171465050090443,0.18725593090057374,new,new
4,0.21609065749428488,0.18640639781951904,new,new
4,0.21484101902354846,0.1866360902786255,new,new
4,0.21491748636419122,0.1853898286819458,new,new
4,0.2154765562577681,0.18602585792541504,new,new
4,0.18918072093616833,0.2385421015999534,new,old
4,0.18712293017994275,0.2256361571225253,new,old
4,0.18721138347278943,0.2256371107968417,new,old
4,0.18745164437727493,0.22527564655650745,new,old
4,0.18664845553311435,0.22393096577037463,new,old
4,0.1850495771928267,0.22353148460388184,new,old
4,0.1863767233761874,0.22311583432284268,new,old
4,0.18526996265758167,0.2248281565579501,new,old
4,0.18428178267045456,0.2220909595489502,new,old
4,0.1852370392192494,0.22248185764659534,new,old
4,0.18563068996776233,0.22263589772311124,new,old
4,0.18514607169411398,0.22238913449374112,new,old
4,0.18582660501653497,0.22359915213151413,new,old
4,0.18686933950944382,0.22446708245710892,new,old
4,0.1873638846657493,0.22576475143432617,new,old
4,0.1874019666151567,0.22507051988081497,new,old
4,0.18681836128234863,0.22430151159113104,new,old
4,0.18654875321821732,0.2250929962504994,new,old
4,0.18654558875344016,0.22318282994357022,new,old
4,0.18520732359452682,0.22438658367503772,new,old
4,0.18768915263089267,0.22608091614463113,new,old
4,0.18623540618202902,0.22353460571982645,new,old
4,0.18710145083340732,0.22534736719998447,new,old
4,0.18927244706587357,0.24501945755698465,new,old
4,0.19727245244112881,0.23890930956060236,new,old
4,0.1959090232849121,0.23481908711520108,new,old
4,0.19754910469055176,0.23845406012101608,new,old
4,0.1968186768618497,0.23745389418168503,new,old
4,0.19818143411116165,0.2386368621479381,new,old
4,0.1961375583301891,0.2375987876545299,new,old
4,0.19927165725014426,0.238320914181796,new,old
4,0.19609041647477585,0.23841045119545676,new,old
4,0.18599991364912552,0.23957579786127264,new,old
4,0.18518196452747693,0.22352114590731534,new,old
4,0.18637824058532715,0.22440739111466843,new,old
4,0.19063793529163708,0.23045320944352585,new,old
4,0.20209078355268997,0.24627301909706809,new,old
4,0.2015456503087824,0.2465451630679044,new,old
4,0.20281822031194513,0.2446364922956987,new,old
4,0.2055527080189098,0.24963502450422806,new,old
4,0.20645364848050204,0.24890992858193137,new,old
4,0.20273033055392178,0.24436376311562277,new,old
4,0.2046363570473411,0.24609440023248846,new,old
4,0.20537120645696466,0.2473639358173717,new,old
4,0.2050908695567738,0.2484583854675293,new,old
4,0.20300789312882858,0.24581802975047717,new,old
4,0.20127608559348367,0.244817777113481,new,old
4,0.20281828533519397,0.24322891235351562,new,old
4,0.21172696893865411,0.25118223103609955,new,old
4,0.2019090002233332,0.2440474033355713,new,old
